observable,trotter_steps,sample_count,ideal_error_mean,ideal_error_q25,ideal_error_q75,noisy_error_mean,noisy_error_q25,noisy_error_q75,abs_noise_shift_mean,abs_noise_shift_q25,abs_noise_shift_q75,signed_noise_shift_mean,signed_noise_shift_q25,signed_noise_shift_q75,mean_noise_resolution_95,signed_mean_ci95,significant_noise_points
mz,1024,9,0.0037296372430549334,0.002196456250039,0.0048891858044316,0.28561004772323284,0.0991735455973205,0.5207153486138817,0.28579999999999994,0.1011,0.5189,-0.24004444444444445,-0.5189,-0.095875,0.013001020635621603,0.00443852759658795,9
mz2,1,9,0.24802805416424267,0.0710663332536225,0.4235931519961431,0.244661387497576,0.0677913332536225,0.414868151996143,0.005634722222222225,0.0014125000000000387,0.008793749999999934,-0.0036694444444444444,-0.008793749999999934,0.0013062500000000088,0.007705222616685555,0.0025842517933808277,4
mz2,2,9,0.186418665182168,0.0511202360242403,0.1817149167463774,0.19067977629327912,0.0560764860242403,0.1880274167463774,0.0049111111111111196,0.0032687500000000147,0.005074999999999941,-0.0028583333333333455,-0.004956249999999995,0.0010249999999999981,0.0073146135656047,0.0025452065984747844,2
mz2,4,9,0.1933166063487826,0.0408786607629467,0.3000744019961431,0.19444230079322702,0.0436286607629468,0.293430651996143,0.004293750000000025,0.0024062499999999987,0.006212500000000065,-0.00260208333333336,-0.006212500000000065,-0.002043750000000011,0.009081785662278513,0.0030627107717476833,0
mz2,8,9,0.051248683682973,0.0092349107629468,0.087880816690922,0.06360423923852856,0.0163099107629468,0.116887066690922,0.012355555555555557,0.004993750000000019,0.014181249999999979,-0.012355555555555557,-0.014181249999999979,-0.004993750000000019,0.009596951187520655,0.003217489900863358,5
mz2,16,9,0.08371195278162308,0.0024350832536225,0.0133620666909219,0.09325677833464346,0.0105225832536225,0.070937066690922,0.019434722222222235,0.0048000000000000265,0.029843749999999947,-0.019434722222222235,-0.029843749999999947,-0.0048000000000000265,0.009402800319397248,0.0031704439530872747,5
mz2,32,9,0.020796204278282878,0.0028952360242403,0.005105816690922,0.041363267016306327,0.0110036607629467,0.0475778455976432,0.030238888888888888,0.00945625,0.04667500000000002,-0.030238888888888888,-0.04667500000000002,-0.00945625,0.009852418112890945,0.0032928092186400703,7
mz2,64,9,0.005849027253732831,0.0010899167463774,0.006562066690922,0.05411812812741747,0.0216577360242403,0.0674715955976432,0.051286805555555565,0.021712500000000023,0.06993749999999999,-0.051286805555555565,-0.06993749999999999,-0.021712500000000023,0.009844376669170965,0.003290282167861095,8
mz2,128,9,0.003069972779087911,0.001058300932517,0.0039911607629468,0.09545146146075077,0.0386014860242403,0.1307028455976432,0.09261666666666667,0.03755625000000001,0.12949999999999995,-0.09261666666666667,-0.12949999999999995,-0.03755625000000001,0.009797483337004658,0.0032771012746267763,9
mz2,256,9,0.0023507900727349445,0.0010514860242403,0.0027724107629467,0.15798062812741748,0.0697130980038569,0.2254153455976432,0.15723958333333335,0.07454375000000002,0.2210625,-0.15723958333333335,-0.2210625,-0.07454375000000002,0.009623563136844142,0.003217122996143779,9
mz2,512,9,0.0025672264498365228,0.001095800932517,0.002230651996143,0.24616673923852858,0.1082193480038569,0.3565454649885917,0.2464388888888889,0.11045000000000002,0.35861875000000004,-0.2464388888888889,-0.35861875000000004,-0.11045000000000002,0.009080178586774396,0.00303605429441445,9
mz2,1024,9,0.004234849528923333,0.003861901996143,0.0048221544023567,0.33474521146075076,0.1444318480038569,0.5185028455976433,0.3342611111111111,0.14829375,0.523325,-0.3342611111111111,-0.523325,-0.14829375,0.008276043396901987,0.0027635155364210146,9
czz,1,9,0.350667853917134,0.1570893282314286,0.4812493938310285,0.35008372693300704,0.1703464710885714,0.4848208224024571,0.008133333333333315,0.0035714285714286143,0.0123428571428571,-0.004539682539682607,-0.0123428571428571,0.0017142857142855988,0.010977028494238884,0.0036673703705159297,4
czz,2,9,0.20420458847538211,0.0929955759072799,0.3280876094196384,0.20831252498331854,0.0812241473358516,0.3335161808482098,0.0067238095238093855,0.003885714285713937,0.011571428571428233,-0.004107936507936425,-0.005428571428571394,-0.0038285714285714034,0.009116123313360099,0.0030681909273797296,3
czz,4,9,0.19980734193768482,0.0443986064159337,0.2188812901929943,0.20245178638212918,0.0443986064159339,0.2236527187644229,0.005507936507936474,0.0030285714285714915,0.007828571428571518,-0.005273015873015763,-0.007828571428571518,-0.0030285714285714915,0.009481520294147948,0.0031718571722610858,1
czz,8,9,0.05356014403093764,0.0087739990547247,0.0513733237053529,0.06783315990395353,0.021341463558791,0.0762451240579681,0.014273015873015889,0.007142857142857617,0.017514285714285704,-0.014273015873015889,-0.017514285714285704,-0.007142857142857617,0.009012080793003342,0.003023495712923118,6
czz,16,9,0.10597881495060688,0.0023986064159338,0.0145596775536729,0.1167222433119744,0.020135108116743,0.05990253469653,0.022692063492063628,0.0123714285714287,0.027942857142858046,-0.02137142857142872,-0.027942857142858046,-0.0123714285714287,0.009090068132969819,0.003050555825338055,8
czz,32,9,0.02503913241092441,0.00351789966,0.007681290192994,0.05047462426435531,0.0248271778445052,0.0456036139457137,0.035009523809523754,0.024857142857142578,0.042371428571428504,-0.035009523809523754,-0.042371428571428504,-0.024857142857142578,0.00923061275905834,0.0030999615837148265,9
czz,64,9,0.005570210047838666,0.0009220347403998,0.0032739632679587,0.06518554085633455,0.051613410378192,0.0674893282314289,0.06232380952380945,0.05059999999999998,0.069457142857143,-0.06232380952380945,-0.069457142857143,-0.05059999999999998,0.009219312442886103,0.0030902800822598707,9
czz,128,9,0.002520219496092578,0.0004545723738464,0.003001895133924,0.11185855672935038,0.0859454276261531,0.1304493938310285,0.1095650793650795,0.0863999999999997,0.13080000000000014,-0.1095650793650795,-0.13080000000000014,-0.0863999999999997,0.00943309565177375,0.0031577044020781823,9
czz,256,9,0.002027567207579711,0.0010208224024566,0.0030165526293973,0.18941728688808054,0.1506304665624956,0.2304321853742861,0.18825714285714293,0.15182857142857153,0.22662857142857207,-0.18825714285714293,-0.22662857142857207,-0.15182857142857153,0.009704747595975944,0.0032428870972635256,9
czz,512,9,0.0027224096924996664,0.0016648918832568,0.003741463558791,0.3194363345071282,0.2472876094196385,0.3937065366881718,0.31926031746031736,0.25088571428571427,0.39537142857142865,-0.31926031746031736,-0.39537142857142865,-0.25088571428571427,0.009889342055332742,0.0033017034585808382,9
czz,1024,9,0.0028198436836726444,0.0019402866595608,0.0031022669151116,0.47488712815792183,0.3942705532353349,0.6009025346965301,0.47519365079365083,0.3971428571428569,0.5972000000000004,-0.47519365079365083,-0.5972000000000004,-0.3971428571428569,0.009804856220525085,0.003273046606986775,9
