h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,sim_mz2,exact_mz2,abs_error_mz2,sim_czz,exact_czz,abs_error_czz
0.5,2.5,512,0.0048828125,0.7611830662099943,0.7611858141955683,2.7479855739809267e-06,0.7035307904610871,0.7035340955976432,3.3051365561087565e-06,0.8019142666127793,0.80191789966,3.6330472207302122e-06
0.5,2.5,1024,0.00244140625,0.7611851272039655,0.7611858141955683,6.869916028273693e-07,0.7035332693179718,0.7035340955976432,8.262796714619824e-07,0.8019169914059642,0.80191789966,9.082540358695823e-07
1.0,2.5,1,2.5,0.283662185463215,-0.0013101880739582739,0.28497237353717325,0.19540620602904674,0.26613508325362256,0.07072887722457583,0.0804642354617678,0.46416700447870857,0.3837027690169408
1.0,2.5,2,1.25,0.6029072807594311,-0.0013101880739582739,0.6042174688333894,0.45585366552965073,0.26613508325362256,0.18971858227602817,0.38222780390390787,0.46416700447870857,0.0819392005748007
1.0,2.5,4,0.625,0.00022109191846948761,-0.0013101880739582739,0.0015312799924277615,0.186967861755498,0.26613508325362256,0.07916722149812455,0.24128015452194349,0.46416700447870857,0.22288684995676508
1.0,2.5,8,0.3125,0.0005060835951559289,-0.0013101880739582739,0.0018162716691142028,0.2500522522954961,0.26613508325362256,0.01608283095812646,0.41934928370212654,0.46416700447870857,0.044817720776582026
1.0,2.5,16,0.15625,-0.0008372389735774033,-0.0013101880739582739,0.00047294910038087057,0.26216467431092727,0.26613508325362256,0.0039704089426952915,0.4535080570542812,0.46416700447870857,0.010658947424427356
1.0,2.5,32,0.078125,-0.001191893176212211,-0.0013101880739582739,0.00011829489774606294,0.26514221319446074,0.26613508325362256,0.0009928700591618211,0.4615343619697531,0.46416700447870857,0.0026326425089554517
1.0,2.5,64,0.0390625,-0.001280627115655547,-0.0013101880739582739,2.956095830272676e-05,0.2658867957457818,0.26613508325362256,0.00024828750784078313,0.4635108176469564,0.46416700447870857,0.0006561868317521702
1.0,2.5,128,0.01953125,-0.001302798882461778,-0.0013101880739582739,7.389191496495751e-06,0.26607300616928675,0.26613508325362256,6.207708433580983e-05,0.4640030806260382,0.46416700447870857,0.000163923852670389
1.0,2.5,256,0.009765625,-0.0013083408455228651,-0.0013101880739582739,1.8472284354087432e-06,0.2661195636440352,0.26613508325362256,1.551960958734444e-05,0.464126031186148,0.46416700447870857,4.097329256058657e-05
1.0,2.5,512,0.0048828125,-0.001309726271158232,-0.0013101880739582739,4.6180280004193275e-07,0.26613120332991447,0.26613508325362256,3.879923708094424e-06,0.4641567616346589,0.46416700447870857,1.024284404965714e-05
1.0,2.5,1024,0.00244140625,-0.0013100726234487464,-0.0013101880739582739,1.1545050952743718e-07,0.2661341132714026,0.26613508325362256,9.699822199893404e-07,0.46416444379746846,0.46416700447870857,2.5606812401046675e-06
2.0,2.5,1,2.5,-0.8390715290764522,0.025796456250039027,0.8648679853264912,0.7410359020433586,0.31723809800385694,0.4237978040395016,0.7040410309066953,0.5122876094196385,0.19175342148705687
